Profundidad,Abies,Acacia,Agave,Alnus oblongifolia,Anisacanthus type,Arbutus,Berberis,Bursera,Bursera laxiflora,Bursera microphylla,Cactoideae,Canotia type,Ceiba,Celtis,Cf. Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia aculeata,Picea,Pinus,Prosopis,Prunus,Quercus,Rutaceae,Salix,Sambucus type,Tecoma stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia ludoviciana,Asteroideae,Boerhavia type,Boraginaceae,Brassicaceae,Callaeum macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Croton type,Cucurbitaceae,Cyperaceae,Dalea,Dicliptera,Eriogonum,Eustoma,Euphorbiaceae,Euphorbia ,Evolvulus,Faboideae,Gentianaceae,Hibiscus type,Ipomoea,Justicia californica,Kallstroemia ,Lamiaceae,Lippia type,Lotus type,Lythrum,Manihot,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Poaceae >60µm,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Solanaceae,Sida,Sphaeralcea type,Tetramerium nervosum,Tribulus ,Trixis californica,Typha tetrads,Typha monads,Urtica,Verbenaceae,Zea mays,Zygophyllaceae,Adiantum,Anemia,Asplenium ,Botrychium,Cheilanthes,Gymnocarpium,Lygodium cf.,Monoleta,Ophioglossum,Osmunda,Reticulate trilete,Selaginella,Pellaea,Spore trilete without perine,Unknown trilete,Indeterminados,Indeterminables
5,0,0,0,0,0,0,0,0,0,0,0.847,0,0,2.119,0,0.847,0,0,0,0,0,0,0,0,0.847,0,0,5.508,14.407,0,1.271,0,0,0.424,0,0,0,21.186,23.305,0,0,5.085,2.966,3.814,0.847,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,1.271,0,0,0.847,0,0.424,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0.424,0.424,2.119,0,0,0,0,0,0,0,0.847,0,0.424,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,4.661,0
10,0,0.524,0,0,0,0,0,0,0,0,4.188,0,0,1.571,0,0.524,0,0,0.524,0,0,0,0,0,0,0,0,3.665,20.419,0,3.141,0,0,0,0,0,0,30.366,9.948,0,0,6.283,0,5.759,0,0,0,0,0,0,0,0,0,0,2.094,0,0,0,0,0,0,0,0,1.571,0,0,0,0,1.047,0,0,0,0,0.524,0,0,0,0,0,1.047,3.665,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,2.094
15,0,0,0,0,0,0,0,0,0,0,4.494,1.685,1.124,1.124,0,0,0,0,0,0,0,0,0,0,1.124,0,0,3.371,11.798,0,10.112,0,0,0,0,0.562,0,20.225,11.236,0,0.562,10.674,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0,0,0.562,0,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,3.933,0,0,0,3.933,0,0,0,0,0,0,0,0,0.562,0.562,0,0,0,0,0,0,5.056,0,0,0,0,0,0,0,0,0,0,0,0,0,1.124,0,0,0,0,5.056
21,0,0,0,0,0,0,0,0,0,0,1.724,1.724,1.724,0,0,0,0,0,0,0,0,0,0,0,5.172,0,0,1.724,0,0,13.793,0,1.724,0,0,0,0,17.241,5.172,0,3.448,18.966,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.897,0,0,0,0,0,0,0,0,0,0,13.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448
24,0,0,0,0,0,0,0,0,0,0,1.506,1.205,0,1.506,0,0,0,0,0,0,0,0,0,0,0,0,0,2.108,0,0,16.265,0,0,0,0,0,0,21.386,8.133,0,0.602,23.494,0.602,0,0,0,0,0.301,0,0,0,0,0,0,3.012,0.301,0,0,0,0.602,0,0,0,0,0,0.301,0,0,0,0.904,0,0,0,0,0,0,0,0,0,0,12.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0,3.313
27,0,0,0,0,0,0,0,0,0,0,0,0.938,0,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,9.375,0,0,0,0,0.625,0,28.125,5.625,0,0.313,24.375,0,0,0,0,0,1.25,0,0.313,0,0,0,0,1.563,0,0,0,0,5.625,0.313,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,9.688,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.938
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0.66,0,0,0,0,0,0,0,0.33,0,0,0,0,0,6.271,0.33,0,11.881,0,0,0,0,0,0,16.832,6.271,0,0.66,29.703,0,0,0,0,0,0.33,0,0,0,0,0,0,1.98,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.152,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.99,1.32
36,0,0,0,0,0,0,0,0.752,0,0,0.752,0.752,0,1.504,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,14.662,0.376,0,0,0,0,0,7.143,8.271,0,0.752,35.338,0,0,0,0,0,2.256,0,0,0,0,0,0,1.504,0,0,0.376,0,1.504,0,0,0,0,0,0.376,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,6.391
39,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0,15.315,0,0,0,0,0,0,16.216,5.405,0,0.901,25.225,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0.901,0,0,0,0.901,0.901,0,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,22.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802,3.604
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.345,0,0,0,0,0,0,1.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,23.793,0,0,0,0,0,0,17.586,4.138,0,0.345,19.655,1.034,0,0.345,0,0,0,0,0,0,0,0,0,2.759,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.414,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,1.034,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0.345,1.034,0,3.103
48,0,0,0,0,0,0,0,0,0,0,0,0.671,0,1.342,0,0,0,0,0,0,0,0,0,0,1.342,0,0,4.698,0,0,6.711,0,0,0,0,0,0,10.738,6.711,0,2.013,31.544,2.685,0,0,0,0,0.671,0.671,0,0.671,0,0,0,2.685,0,0,0,0,2.013,0,0,0,0,0,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,0,2.013,1.342
51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.493,0,0,0,0,0,0,0,1.493,0,0,5.97,0,0,5.97,0,0,7.463,0,0,0,0,0,0,10.448,0,0,11.94,14.925,0,0,0,0,0,2.985,0,0,0,0,0,0,2.985,0,0,0,0,0,0,0,0,0,0,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.478,2.985
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681,1.227,0,9.509,0,0,1.84,0,0,0,18.405,4.908,0,3.681,29.141,0,0,0.613,0,0,1.84,0,0,0,0,0,0,3.067,0,0,0,0,0.92,0,0.307,0,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0,2.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.454,0,2.761
57,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0.935,0,0,0,0,0,0,0,0,0,0,1.869,0.935,0,4.673,0,0,15.888,0,0,0,0,0,0,27.103,4.673,0,1.869,13.084,0.935,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0,0,0,0.935,0,0,0,0,0,0,0,2.804,2.804
60,0,0,0,0,0,0,0,1.01,0,0,3.03,0,1.01,0,0,0,0,0,0,0,0,0,0,0,2.02,2.02,0,10.101,0,0,6.061,0,0,0,0,1.01,0,23.232,3.03,0,0,23.232,3.03,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,3.03,3.03
63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031,0,0,0,0,0,0,0,0,0,0,0,0,0,2.062,0,0,11.34,0,0,0,0,1.031,0,38.144,2.062,0,0,16.495,0,0,0,0,0,0,0,0,0,0,0,0,6.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.433,0,0,0,0,0,0,0,0,0,0,0,0,1.031,0,3.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031,2.062
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0,0.483,0,0,0,0,0,0,0,0,0.483,0,11.111,0,0,7.729,0,0,0,0,0,0,7.246,0.966,0,0,4.831,0,0,0,0,0,0,0,0,0,0,0,0,4.831,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0,0.966,0.483,0,3.382
69,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.223,0,0,21.845,0,0,0,0,0,0,15.049,2.427,0,1.456,24.757,0.485,0,0,0,0,0,0,0,0,0,0,0,2.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0,3.398
87,0,0,0,0,0,0,0,0,0,0,0.743,1.115,0,1.487,0,0,0,0,0,0,0,0.743,0,0,0.372,0,0,5.204,0,0,7.435,0,0,0,0,0,0,14.498,1.115,0,1.115,37.918,4.461,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0.743,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,12.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,3.717
90,0,0,0.606,0,0,0,0,0.303,0,0,0.303,1.818,0,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,5.455,0.303,0,7.879,0,0,0,0,0,0,22.121,1.818,0,0,29.091,1.515,0,0,0,0,0,0,0,0,0,0,0,2.727,0,0,0,0,1.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.879,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0,0.303,0,0,0,0,4.242
93,0,0,0,0,0,0,0,1.567,0,0,0,0.313,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,5.643,0.313,0,12.853,0,0,0,0,0.313,0,23.197,1.881,0,0.313,28.527,0.627,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,1.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0,0,0,18.495,0,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194
96,0,0,0,0,0,0,0,0,0,0,0.319,2.556,0,0.319,0,0,0,0,0,0,0,0,0,0,0,0.319,0,5.431,0,0,12.78,0,0,0.319,0,0,0,25.559,2.875,0,0,30.032,0.319,0,0,0,0,0.639,0,0,0,0,0,0,5.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.556
99,0,0,0,0,0,0,0,0.327,0,0,0,0.327,0,0.654,0,0,0,0,0,0,0,0.327,0,0,0,0,0,5.229,0,0,10.784,0,0,0,0,0.327,0,18.954,2.941,0,0.98,31.373,0,0,0,0,0,0.327,0,0,0,0,0,0,1.961,0,0,0,0,0.98,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0.654,0,0.327,0,0,0,20.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614
102,0,0,0,0.629,0,0,0.314,0.943,0,0,2.201,0.314,0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,5.031,0.314,0,13.836,0,0,0,0.314,0,0,9.748,1.887,0,0.943,29.56,0,0,0,0,0.314,0,0,0,0,0,0,0,0.943,0,0,0,0,0.629,0,0,0.314,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,25.157,1.572,0,0,0,0,0,0,0,0,0,0.314,0,0,0,2.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,0.629
105,0,0,0,1.538,0,0,0,1.538,0,0,0,0,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0.769,0,10.769,0,0.769,0.769,0,0,0,19.231,3.077,0,4.615,4.615,0.769,0,0,0,0,0,0,0,0,0,0,0,6.923,0,0,0,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077
108,0,0,0,0.298,0,0,0,0.893,0,0,0,2.381,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,6.548,0,0,13.095,0,0,0,0,0,0,19.048,5.06,0,4.167,9.821,0,0,0,0,0,0,0,0,0,0,0,0,9.524,0.298,0,0,0,1.19,0,0.298,0,0,0,0,0,0,0,0,0.298,0,0,0,0,0,0.298,0,0,0,22.917,0,0,0,0,0,0,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0,0,0,0,2.083
111,0,0.305,0,0.305,0,0,0,0.305,0,0,0.61,0,0,3.659,0,0,0,0,0.305,0,0,0,0,0,0,0,0,9.451,1.829,0,10.061,0,0,0,0,0,0,14.939,3.049,0,5.793,11.28,0.915,0,0,0,0,0,0,0,0,0,0,0,20.122,0,0,0,0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,0,0,10.671,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,1.829,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,0,0.305,0,0.915,1.22,0,0
114,0,0,0,0.345,0,0,0,0,0,0,0.345,1.724,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,8.966,0.345,0,9.31,0,0,0,0,0.345,0,26.552,1.379,0,1.724,13.103,1.034,0,0,0,0,0,0,0,0,0,0,0,7.241,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,18.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.517
117,0,0.34,0,0.68,0,0,0,0,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,12.585,0.34,0,13.265,0,0,0,0,0.34,0,19.728,1.701,0,2.041,7.823,1.361,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0.68,0,0.34,0.68,0,0,0.34,0,0.34,0,0,0,0.34,0,0.34,0,0,0,0,0,0.34,12.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,1.02,1.361,0,5.782
