Profundidad,Abies,Acacia,Agave,Alnus oblongifolia,Anisacanthus type,Arbutus,Berberis,Bursera,Bursera laxiflora,Bursera microphylla,Cactoideae,Canotia type,Ceiba,Celtis,Cf. Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia aculeata,Picea,Pinus,Prosopis,Prunus,Quercus,Rutaceae,Salix,Sambucus type,Tecoma stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia ludoviciana,Asteroideae,Boerhavia type,Boraginaceae,Brassicaceae,Callaeum macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Croton type,Cucurbitaceae,Cyperaceae,Dalea,Dicliptera,Eriogonum,Eustoma,Euphorbiaceae,Euphorbia ,Evolvulus,Faboideae,Gentianaceae,Hibiscus type,Ipomoea,Justicia californica,Kallstroemia ,Lamiaceae,Lippia type,Lotus type,Lythrum,Manihot,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Poaceae >60µm,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Solanaceae,Sida,Sphaeralcea type,Tetramerium nervosum,Tribulus ,Trixis californica,Typha tetrads,Typha monads,Urtica,Verbenaceae,Zea mays,Zygophyllaceae,Adiantum,Anemia,Asplenium ,Botrychium,Cheilanthes,Gymnocarpium,Lygodium cf.,Monoleta,Ophioglossum,Osmunda,Reticulate trilete,Selaginella,Pellaea,Spore trilete without perine,Unknown trilete,Indeterminados,Indeterminables
234,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.724,0,0,19.655,0,0,0,0,0,0,6.552,16.552,0,3.103,6.897,0,0,0,0,0,0,0,0,0,0,0,0,5.172,0.345,0,0,0,1.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379,0,0,0,0,0,4.828
237,0,0,0,0.331,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.576,0,0,16.887,0,0,0,0,0,0,11.258,17.881,0,5.298,3.974,0.331,0,0,0,0,0,0.331,0,0,0,0,0,4.636,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,14.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.285
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0.332,0,0,0,0,0,0,0,0,0,15.947,0,0,21.262,0,0,0,0,0,0,8.97,10.299,0,0.332,3.987,0,0,0,0,0,0,0,0,0,0,0,0,9.635,0,0,0,0,1.661,0,0,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0.664,0.332,0,5.98
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,1.261,0,0,0,0,9.244,0,0,17.647,0,0,0,0,0,0,6.303,8.824,0,4.622,11.765,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,22.269,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,0,0,0,0,0,5.042
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0.327,0,0,15.686,0,0,14.052,0,0,0,0,0,0,8.17,13.072,0,5.229,10.784,0.654,0,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,1.634,0,0,0,0,0,0,0,0,0,0,0,0.327,0.327,0,0,0,0,0,0,0,19.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268,0,0,0.654,0,0,1.634
249,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0.654,0,0,0,0,0,0,0,0,16.34,0,0,13.072,0,0,0,0,0,0,13.725,12.745,0,1.307,8.497,0.327,0,0,0,0,0,0,0,0,0,0,0,4.248,0.327,0,0,0,2.288,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634,0.327,0,0.654,0,0,1.961
252,0,0,0,0.318,0,0,0,0,0,0,0,0.637,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,10.828,0,0,14.65,0,0,0.955,0,0,0,6.688,16.561,0,3.503,8.917,0.318,0,0,0,0,0,0,0,0,0,0,0,7.325,0,0,0,0,0.318,0,0.318,0,0,0,0,0,0,0,0,0,0.318,0,0,0,0,0,0,0,0,21.975,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,2.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0,0,0,2.548
255,0,0,0,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0.478,0,1.914,0,0,0,0,11.483,0,0,13.397,0,0.478,0,0,0,0,7.656,14.833,0,1.914,11.005,1.435,0,0.478,0,0,0,0,0,0,0,0,0,3.828,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349,0,0,0,0,0,9.091
258,0,0,0,0.649,0,0,0,0,0,0,0,0.649,0,0.649,0,0,0,0,0,0,0,0.325,0,0,0,0,0,18.831,0.649,0,15.909,0,0,0,0,0,0,6.169,8.117,0,3.571,12.013,0.325,0,0,0,0,0,0,0,0,0,0,0.325,1.623,0,0,0,0,0.649,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,21.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.948,0,0,0,0,0,4.221
261,0,0,0,1.293,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0.862,0,0,0,0,21.983,0,0,22.414,0,0,0,0,0,0,7.759,18.103,0,1.293,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.155,0,0,0,0,0,4.741
264,0,0,0,0.952,0,0,0,0,0,0,0,0,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,20.952,0,0,20.952,0,0,0,0,0,0,11.905,9.048,0,3.81,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0.952,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,0,0,0.476,0,0,5.238
267,0,0,0,1.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0,0,0.313,0,0,0,0,0,17.868,0,0,15.674,0,0,0,0,0,0,8.15,25.078,0,0.627,4.702,0,0,0,0,0,0,0,0,0,0,0,0,1.567,0,0,0,0,1.567,0,0,0,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0,0,0.313,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194,0,0,0,0,0,1.567
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0,0,0,10.547,0,0,24.219,0,0,0,0,0,0,2.344,23.438,0,5.469,5.859,0,0,0,0,0,0,0,0,0,0,0,0,1.563,0,0,0,0,0.391,0,0,0,0,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0,0,0,16.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.734,0,0,0,0.391,0,4.688
273,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0.361,0,0,0,0,0.361,0,0,0,0,0,0,0,0,12.635,0,0,24.188,0,0.361,0,0,0,0,5.776,18.773,0,0.361,6.137,0.361,0,0,0,0,0,0,0,0,0,0,0,3.971,0,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.776,0,0,0,0,0,5.776
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0,0,0,0,0.407,0,0,0,0,0,0,0,0,13.821,0,0,24.39,0,0,0,0,0,0,2.033,22.764,0,0.813,5.285,0.813,0,0,0,0,0,0,0,0,0,0,0,2.846,0,0,0,0,0,0,0.407,0,0,0,0,0,0,0,0,0,2.033,0,0,0,0,0.407,0,0,0,8.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0,0,0,0,0,0,0,0.407,0,0,0,0,0.407,0,8.537,0,0,0.407,0,0,4.878
279,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,20.833,0,0,20.313,0,0,0,0,0,0,3.125,13.542,0,2.604,8.854,0.521,0,0,0,0,0.521,0,0,0,0,0,0,2.083,0,0,0,0,0.521,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.104,0,0,0,0,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.771,0,0,0,0,0,3.125
282,0,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,15.517,0,0,23.276,0,0.862,0,0,0,0,4.31,19.828,0,0,9.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0.862,0,5.172
285,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.667,0,0,10.667,0,0,0,0,0,0,0.667,64.667,0,1,2.667,0.333,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.14,0,0,18.692,0,0,0,0,0,0,0.935,1.869,0,1.869,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673,0,0,0.935,0,0,0
291,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0.337,36.027,0,0,21.212,0,0.337,0,0,0,0,2.694,2.02,0,3.03,8.418,0.337,0,0,0,0,0,0,0,0,0,0,0,0.673,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,11.785,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.051,0,0,2.02,0,0,3.704
294,0,0,0,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0.284,0.284,0,0,0,39.773,0,0,21.307,0,0,0,0,0,0,3.977,3.409,0,0.568,4.261,0,0,0,0,0,0,0,0,0,0,0,0,1.705,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0.284,0,0.568,0,0,0,0,0,0,0,0,12.5,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,3.693,0,0,2.841,2.841,0,0
297,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.305,0,0,0,0,33.537,0,0,25.305,0,0,0,0,0,0,4.268,4.268,0,1.829,3.659,0,0,0.305,0,0,0.305,0,0,0,0,0,0,2.439,0,0,0,0,0.305,0,0,0.61,0,0,0,0,0,0,0,0,1.22,0,0,0.305,0,0,0,0,0,13.415,0,0.305,0,0,0,0.305,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134,0,0,0,2.134,0,1.524
300,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,2.251,0,0.188,0,0,0.375,0,0,0,0,27.205,0,0,12.008,0,0,0,0,0,0,1.126,12.57,0,1.689,24.203,1.126,0.188,0,0,0.563,0.188,0,0,0,0,0,0,1.126,0,0,0,0,0.188,0,0.188,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0,10.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0.188,0,0.938,0,0,0,1.689,0,0,0,0,0,0.563
302.5,0,0,0,0.323,0,0,0,0,0,0,0,0,0,0.323,0,0,0,0.323,0.323,0,0,0.323,0.323,0.323,0,0,0,34.839,0,0,20,0,0.323,0,0,0,0,6.129,3.871,0,0.968,9.355,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0,0.323,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,10.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.871,0,0,1.935,0,0,2.258
305,0,0,0,1.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0.192,0.383,0,0.575,0.766,0,0,0,0,24.138,0,0,18.582,0,0.192,0,0,0,0,4.023,8.429,0,1.149,17.625,0,0.192,0.192,0,0.383,0,0,0,0,0,0,0,4.406,0,0,0,0,0,0,0.192,0.192,0,0,0.192,0,0.192,0.383,0,0,0.192,0,0,0,0,0,0,0,0,11.494,0,0,0.192,0,0,0,0,0.383,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0.575,0.192,0,1.341,0,0,0,0.958,0,0,0.192,0.383,0,0
307.5,0,0,0,0.286,0,0.286,0,0,0,0,0,0,0,0.571,0,0,0,0.286,0,0,0,0.286,0.286,0,0,0,0,29.143,0,0,22.571,0,0,0,0.286,0,0,3.714,4.571,0,2,10.857,0.286,0,0,0,0,0.286,0.286,0,0,0,0,0,0.857,0,0,0,0,0.286,0,0,0,0.286,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,12.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,2,0,0,0,2.571,0,4.286
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.458,0,0,20.525,0,0,0,0,0,0,1.432,1.193,0,1.909,8.592,0.239,0.239,0,0,4.057,0,0,0,0,0,0,0,9.547,0,0,0,0,0,0,0,0,0,0,0,0,0,1.909,0,0,0,0,0,0,0,0,0,0,0,10.263,0,0,0.239,0,0.239,0,0,0,0,0,0,0,0,0,0.477,0,0,0,0,0,0,0,0,0,0,5.728,0,0,0,0,0,0.239,0.716,0,0,0
312.5,0,0,0,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,0.282,0.282,0.282,0,0,0,0.282,35.028,0,0,22.599,0,0.282,0,0,0,0,4.802,1.13,0,2.26,8.475,0,0,0,0,0,0.282,0,0,0,0,0,0,0.565,0,0,0,0,0.282,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,12.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,3.672,0,0,0.282,0.282,0,2.825
315,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0.246,0,0,0,0.246,0.246,0.493,0,0.493,0.246,0,0,0,0,50.985,0,0.493,15.271,0,0.246,0,0,0,0,0.493,0.985,0,1.478,7.389,0,0,0,0,1.97,0.246,0,0,0,0,0,0,1.97,0,0,0,0,0.493,0,0,0,0,0,0,0,0,0.493,0,0,0.246,0,0,0,0,0,0,0,0,7.882,0,0,0,0,0,0.493,0,0,0,0,0,0,0,0,1.232,0,0,0,0,0,0,0,0.739,0.493,0,2.217,0,0,0,0,0,0,0.985,0,0.246,0
317.5,0.27,0,0,0.811,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.27,0,0,0.27,0.27,0,0,0,0.27,51.351,0,0,11.351,0,0,0,0,0,0,4.595,1.081,0,2.432,5.135,0.27,0,0,0,0,0,0.811,0,0,0,0,0,1.351,0,0,0,0,0,0,0.27,0,0,0,0,0,0.27,0,0,0,0.27,0,0,0,0,0,0.27,0,0.27,9.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081,0,0,0,0.27,0,0,0.27,0,0,0.541,0,0.811,0.27,0,3.243,0,0,1.351,0,0,0.811
320,0,0,0,0.246,0,0,0,0,0,0,0,0,0,0.246,0,0,0,0,0,0.246,0,0.983,0.491,0,0,0,0,49.877,0,0,14.005,0,0,0,0,0,0,1.966,0.246,0,1.966,12.531,0,0,0,0,2.457,0,0,0,0,0,0,0,2.457,0,0,0,0,0,0,0.246,0,0,0,0,0,0,0.491,0,0,0.246,0,0,0,0,0,0,0,0,7.371,0,0,0,0,0.246,0.983,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,1.474,0,0,0,0,0,0,0.737,0,0,0
322.5,0.284,0,0,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0.284,53.125,0,0,15.057,0,0,0,0,0,0,3.693,1.705,0,1.136,3.409,0.568,0,0,0,0,0.284,0.284,0,0,0,0,0,1.42,0.284,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,9.659,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0,0.852,0.852,0,1.136,0,0,3.125
325,0,0,0,0.667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,17,0,0.333,0,0,0,0,4.333,1,0,1.667,4,0,0,0,0,0.333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,10.333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,0,0,3.667
327.5,0.311,0,0,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,60.559,0,0,13.043,0,0,0,0,0,0,3.106,0.621,0,1.242,4.037,0,0,0,0,0.311,0,0.311,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.112,0.311,0.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,0,0,1.242,0,0,0,0,1.242
330,0.244,0,0,0.244,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0.244,0,0.489,0.244,0,0,0,0,67.237,0,0.733,10.024,0,0.244,0,0,0,0,0.244,0.978,0,1.467,2.934,0,0,0,0,1.956,0,0,0,0,0,0,0,1.467,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.244,0,0,0,0,0,0,0,0,0,0,0,6.846,0,0,0,0,0.244,0.489,0.489,0,0,0,0,0,0,0.244,0,0.244,0,0,0,0,0,0,0,0,0,1.711,0,0,0,0,0,0,0.244,0,0.244,0
331,0.234,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0.234,0,0,0,0,0.234,56.44,0,0,14.754,0,0,0,0,0,0,0,1.405,0,2.576,7.494,0.234,0,0,0,1.874,0,0,0,0,0,0,0,3.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,8.197,0.234,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0,0,0,0.468,0,0.234,0.234
